 #p(MeV) \t \delta f_\\nu \t \delta f_\\nubar
  3.8599523263321278E-01  9.9232205528253556E-02  1.9101332399291190E-06
  3.8984078771740210E-01  9.8985065065968519E-02  1.8914421423005866E-06
  3.9372465491701469E-01  9.8751954576196496E-02  1.8729013155402401E-06
  3.9764721592420094E-01  9.8541105699226653E-02  1.8545103497979054E-06
  4.0160885623379527E-01  9.8364908597981943E-02  1.8362688319276296E-06
  4.0560996518120263E-01  9.8146971529729010E-02  1.8181763435954865E-06
  4.0965093598065966E-01  9.7920035010736928E-02  1.8002324589214911E-06
  4.1373216576387883E-01  9.7642850686204222E-02  1.7824367528910905E-06
  4.1785405561907768E-01  9.7403079675768042E-02  1.7647888154269542E-06
  4.2201701063039493E-01  9.7159866465218639E-02  1.7472882211624759E-06
  4.2622143991770234E-01  9.6963056022959543E-02  1.7299344496338562E-06
  4.3046775667680987E-01  9.6749063504582011E-02  1.7127267994964086E-06
  4.3475637822007390E-01  9.6525360794459281E-02  1.6956643365348206E-06
  4.3908772601740959E-01  9.6288684524179824E-02  1.6787458859057288E-06
  4.4346222573770999E-01  9.6046619841815090E-02  1.6619700596144149E-06
  4.4788030729068112E-01  9.5794156507536671E-02  1.6453353514546485E-06
  4.5234240486908983E-01  9.5580581124406996E-02  1.6288402523585006E-06
  4.5684895699143596E-01  9.5347103740461070E-02  1.6124832675275531E-06
  4.6140040654504849E-01  9.5119030028016180E-02  1.5962629214810833E-06
  4.6599720082960977E-01  9.4905269903087855E-02  1.5801777602808026E-06
  4.7063979160111591E-01  9.4703978880977271E-02  1.5642263249641871E-06
  4.7532863511627221E-01  9.4471743441570513E-02  1.5484071341705352E-06
  4.8006419217733309E-01  9.4285891381339179E-02  1.5327187171340601E-06
  4.8484692817738900E-01  9.4069096891027715E-02  1.5171596830640406E-06
  4.8967731314610119E-01  9.3837193827048027E-02  1.5017287877839915E-06
  4.9455582179589724E-01  9.3604014546239386E-02  1.4864249708873401E-06
  4.9948293356862183E-01  9.3397468731230851E-02  1.4712473594835759E-06
  5.0445913268265530E-01  9.3170996293238342E-02  1.4561952243321159E-06
  5.0948490818050163E-01  9.2941807986442249E-02  1.4412678757518566E-06
  5.1456075397684842E-01  9.2731522545468889E-02  1.4264646290470316E-06
  5.1968716890710820E-01  9.2517465133958879E-02  1.4117848012963895E-06
  5.2486465677644079E-01  9.2297807116486913E-02  1.3972277033207728E-06
  5.3009372640926655E-01  9.2077243543779788E-02  1.3827926541270229E-06
  5.3537489169927188E-01  9.1852592129000571E-02  1.3684790146254330E-06
  5.4070867165991110E-01  9.1627345620478931E-02  1.3542862019411444E-06
  5.4609559047541600E-01  9.1393917108236286E-02  1.3402136695845972E-06
  5.5153617755230788E-01  9.1214345572385405E-02  1.3262608680022273E-06
  5.5703096757142700E-01  9.0988653016963308E-02  1.3124272074082363E-06
  5.6258050054047970E-01  9.0803281501610045E-02  1.2987120356320559E-06
  5.6818532184710713E-01  9.0599884630495175E-02  1.2851146366128854E-06
  5.7384598231248407E-01  9.0372529013490924E-02  1.2716342667986547E-06
  5.7956303824545297E-01  9.0141142161172666E-02  1.2582701812920140E-06
  5.8533705149719362E-01  8.9897758712303225E-02  1.2450216353077925E-06
  5.9116858951644258E-01  8.9678729979341079E-02  1.2318878858193932E-06
  5.9705822540525721E-01  8.9459994497014195E-02  1.2188681912659789E-06
  6.0300653797534021E-01  8.9244838169429158E-02  1.2059618139234167E-06
  6.0901411180492160E-01  8.9033149435448669E-02  1.1931680396975990E-06
  6.1508153729620951E-01  8.8847165521446461E-02  1.1804862147869312E-06
  6.2120941073341340E-01  8.8648040409527756E-02  1.1679157827904744E-06
  6.2739833434134351E-01  8.8461894983863198E-02  1.1554563063388433E-06
  6.3364891634459541E-01  8.8249153786066445E-02  1.1431074680912747E-06
  6.3996177102732543E-01  8.8033945397193461E-02  1.1308690539199668E-06
  6.4633751879361800E-01  8.7815006629264961E-02  1.1187408988608321E-06
  6.5277678622845958E-01  8.7599914016370850E-02  1.1067228287764492E-06
  6.5928020615931371E-01  8.7386287465095330E-02  1.0948146527848343E-06
  6.6584841771831627E-01  8.7168080405589182E-02  1.0830161644635994E-06
  6.7248206640508446E-01  8.6967558286778934E-02  1.0713271402203541E-06
  6.7918180415015528E-01  8.6763433871250559E-02  1.0597473188797093E-06
  6.8594828937905539E-01  8.6552266693720542E-02  1.0482763541374383E-06
  6.9278218707700756E-01  8.6341855122125000E-02  1.0369137528275998E-06
  6.9968416885428308E-01  8.6141427840167636E-02  1.0256588238090835E-06
  7.0665491301220684E-01  8.5952918673105158E-02  1.0145106562635614E-06
  7.1369510460981544E-01  8.5769719788216639E-02  1.0034681303553638E-06
  7.2080543553118548E-01  8.5576548940751368E-02  9.9252995094721856E-07
  7.2798660455342590E-01  8.5352391045452572E-02  9.8169471608710183E-07
  7.3523931741535486E-01  8.5115300273899172E-02  9.7096102189192173E-07
  7.4256428688685416E-01  8.4865092731311681E-02  9.6032749150411169E-07
  7.4996223283891850E-01  8.4646815974820738E-02  9.4979277561286777E-07
  7.5743388231440367E-01  8.4435328219916589E-02  9.3935555618865561E-07
  7.6497996959947445E-01  8.4248400500386261E-02  9.2901456751841278E-07
  7.7260123629576927E-01  8.4095814119186652E-02  9.1876863744087635E-07
  7.8029843139328336E-01  8.3915663865141515E-02  9.0861673222161166E-07
  7.8807231134397349E-01  8.3722797266857052E-02  8.9855798593549020E-07
  7.9592364013610251E-01  8.3516730951556664E-02  8.8859170447871542E-07
