!                T (MeV)                 t (sec)               ln(a/a_i)               L/n_gamma          \Omega_wdm h^2
  7.5646332755462913E+02  5.0551579238554046E-07  2.6409948582070384E+00  1.6660261245866108E-02  3.2677390834229075E-09
  7.0548023107186452E+02  5.8658400625711794E-07  2.7165674269214541E+00  1.6373014608811694E-02  4.1944511969791894E-09
  6.5793322465756819E+02  6.8102810722057513E-07  2.7924954152666199E+00  1.6073572776136920E-02  6.0915984256327707E-09
  6.1359072734131746E+02  7.9109481490295805E-07  2.8687670161012133E+00  1.5763349517615852E-02  9.5118073104698442E-09
  5.7223676593502194E+02  9.1940328850841470E-07  2.9453653818595713E+00  1.5443966547647490E-02  1.5704068819740852E-08
  5.3366992312063121E+02  1.0690024205022430E-06  3.0222685238398097E+00  1.5117226149637335E-02  2.7534855592151361E-08
  4.9770235643321132E+02  1.2434353746813533E-06  3.0994493954322881E+00  1.4785074438089508E-02  5.1218556800304106E-08
  4.6415888336127813E+02  1.4468128210095040E-06  3.1768765271349637E+00  1.4449541454517174E-02  1.0038565843912413E-07
  4.3287612810830609E+02  1.6838967533443935E-06  3.2545153532787809E+00  1.4112656921728854E-02  2.0968070348058917E-07
  4.0370172585965571E+02  1.9601878179892604E-06  3.3323277381489658E+00  1.3776450518220419E-02  4.4391277913982791E-07
  3.7649358067924703E+02  2.2821077716207503E-06  3.4102919351474217E+00  1.3442127238741939E-02  9.6654458759405495E-07
  3.5111917342151332E+02  2.6570401302388157E-06  3.4883778260776315E+00  1.3111122616729785E-02  2.1893781742884515E-06
  3.2745491628777302E+02  3.0936677338965546E-06  3.5665867680751671E+00  1.2783533892935219E-02  4.8711911900808151E-06
  3.0538555088334169E+02  3.6022205276620855E-06  3.6449467345133186E+00  1.2458447416432324E-02  1.1151445448916223E-05
  2.8480358684358032E+02  4.1939169474150990E-06  3.7234036043023702E+00  1.2138015736726415E-02  2.5504050188673033E-05
  2.6560877829466875E+02  4.8851531502482644E-06  3.8022990981981715E+00  1.1810102554463344E-02  5.6445066507687655E-05
  2.4770763559917120E+02  5.6932227386259329E-06  3.8816988505007237E+00  1.1473245928213457E-02  1.2918575667901391E-04
  2.3101297000831607E+02  6.6414304294509644E-06  3.9619107022889972E+00  1.1118042139684758E-02  2.8138145935017013E-04
  2.1544346900318845E+02  7.7733891271187532E-06  4.0442568346126393E+00  1.0703210338565266E-02  6.0926855887891325E-04
  2.0092330025650480E+02  9.2749572916044490E-06  4.1372582055986955E+00  9.9746641787856055E-03  1.3913369804347132E-03
  1.8738174228603850E+02  1.1540948767442565E-05  4.2532692076390033E+00  8.6612752740186701E-03  3.3806969581844822E-03
  1.7475284000076849E+02  1.4554906468745502E-05  4.3772530227688087E+00  7.3079173243940348E-03  8.2593270393264816E-03
  1.6297508346206450E+02  1.8059685866683971E-05  4.4929197080951599E+00  6.2603067847959853E-03  1.8061139567776559E-02
  1.5199110829529346E+02  2.2127689479907931E-05  4.6018564298579339E+00  5.3508875300799829E-03  3.7797859117880535E-02
  1.4174741629268061E+02  2.6742927715227297E-05  4.7032542940010895E+00  4.4696866147006650E-03  7.4414435616021346E-02
  1.3219411484660299E+02  3.1953580854753494E-05  4.7982350796454396E+00  3.4935310507769142E-03  1.3462461614372995E-01
  1.2328467394420669E+02  3.7825097475780870E-05  4.8878922237863334E+00  2.6742255345883616E-03  1.8907296470046947E-01
  1.1497569953977364E+02  4.4451953527762674E-05  4.9733385406880446E+00  2.3527617035630907E-03  2.0044057535302984E-01
  1.0722672220103239E+02  5.1957271399872822E-05  5.0555710821527811E+00  2.2432722285510506E-03  1.9544218919984749E-01
  1.0000000000000006E+02  6.0492515717145607E-05  5.1354205661738437E+00  2.1762369729017642E-03  1.8966367871565978E-01
  9.3260334688322047E+01  7.0239093884774022E-05  5.2135549066171523E+00  2.1222301589502888E-03  1.8499058747962716E-01
