#        T (MeV)   d\mu_e/dL_\mu  d\mu_\mu/dL_\mu  d\mu_\tau/dL_\mu  d\mu_{\nu_e}/dL_\mu  d\mu_{\nu_\mu}/dL_\mu  d\mu_{\nu_\tau}/dL_\mu   d\mu_Q/dL_\mu   d\mu_B/dL_\mu in units of T^-2
      1.0000e+01     -4.7602e-03       5.9762e+00       -1.4277e-02           9.5167e-03             5.9905e+00              3.7489e-76      1.4277e-02     -7.5977e-03
      1.5000e+01     -8.8043e-02       5.5592e+00       -2.6410e-01           1.7605e-01             5.8233e+00              1.9007e-49      2.6410e-01     -1.3760e-01
      2.0000e+01     -2.8697e-01       4.5508e+00       -8.6085e-01           5.7388e-01             5.4116e+00              2.8257e-36      8.6085e-01     -4.4386e-01
      2.5000e+01     -4.7155e-01       3.5694e+00       -1.4146e+00           9.4303e-01             4.9840e+00              1.7349e-28      1.4146e+00     -7.2443e-01
      3.0000e+01     -5.8309e-01       2.9001e+00       -1.7492e+00           1.1661e+00             4.6493e+00              2.3190e-23      1.7492e+00     -8.9066e-01
      3.5000e+01     -6.3767e-01       2.4814e+00       -1.9130e+00           1.2753e+00             4.3944e+00              9.7048e-20      1.9130e+00     -9.6791e-01
      4.0000e+01     -6.5903e-01       2.2169e+00       -1.9771e+00           1.3180e+00             4.1939e+00              4.7538e-17      1.9771e+00     -9.9237e-01
      4.5000e+01     -6.6266e-01       2.0436e+00       -1.9879e+00           1.3253e+00             4.0315e+00              5.6350e-15      1.9879e+00     -9.8744e-01
      5.0000e+01     -6.5717e-01       1.9257e+00       -1.9715e+00           1.3143e+00             3.8972e+00              2.4919e-13      1.9715e+00     -9.6623e-01
      5.5000e+01     -6.4725e-01       1.8428e+00       -1.9417e+00           1.2945e+00             3.7845e+00              5.4063e-12      1.9417e+00     -1.2207e+00
      6.0000e+01     -6.3502e-01       1.7833e+00       -1.9050e+00           1.2700e+00             3.6884e+00              6.8963e-11      1.9050e+00     -9.0041e-01
      6.5000e+01     -6.2199e-01       1.7396e+00       -1.8660e+00           1.2440e+00             3.6056e+00              5.8623e-10      1.8660e+00     -8.9459e-01
      7.0000e+01     -6.0860e-01       1.7074e+00       -1.8258e+00           1.2172e+00             3.5332e+00              3.6274e-09      1.8258e+00     -8.2260e-01
      7.5000e+01     -5.9519e-01       1.6835e+00       -1.7856e+00           1.1904e+00             3.4691e+00              1.7429e-08      1.7856e+00     -7.9358e-01
      8.0000e+01     -5.8180e-01       1.6660e+00       -1.7454e+00           1.1636e+00             3.4114e+00              6.8224e-08      1.7454e+00     -7.4311e-01
      8.5000e+01     -5.6845e-01       1.6535e+00       -1.7054e+00           1.1369e+00             3.3589e+00              2.2566e-07      1.7054e+00     -7.0853e-01
      9.0000e+01     -5.5503e-01       1.6451e+00       -1.6651e+00           1.1101e+00             3.3102e+00              6.4992e-07      1.6651e+00     -6.6656e-01
      9.5000e+01     -5.4147e-01       1.6400e+00       -1.6244e+00           1.0829e+00             3.2644e+00              1.6611e-06      1.6244e+00     -6.3179e-01
      1.0000e+02     -5.2763e-01       1.6379e+00       -1.5829e+00           1.0553e+00             3.2207e+00              3.8377e-06      1.5829e+00     -5.9497e-01
      1.0500e+02     -5.1342e-01       1.6383e+00       -1.5402e+00           1.0268e+00             3.1785e+00              8.1299e-06      1.5402e+00     -5.6196e-01
      1.1000e+02     -4.9870e-01       1.6410e+00       -1.4961e+00           9.9739e-01             3.1370e+00              1.5973e-05      1.4961e+00     -5.2896e-01
      1.1500e+02     -4.8343e-01       1.6457e+00       -1.4503e+00           9.6685e-01             3.0960e+00              2.9384e-05      1.4503e+00     -5.0229e-01
      1.2000e+02     -4.6747e-01       1.6524e+00       -1.4024e+00           9.3495e-01             3.0549e+00              5.1000e-05      1.4024e+00     -4.6833e-01
      1.2500e+02     -4.5091e-01       1.6608e+00       -1.3526e+00           9.0181e-01             3.0136e+00              8.4077e-05      1.3527e+00     -4.4352e-01
      1.3000e+02     -4.3346e-01       1.6711e+00       -1.3003e+00           8.6692e-01             2.9714e+00              1.3230e-04      1.3004e+00     -3.9428e-01
      1.3500e+02     -4.1459e-01       1.6835e+00       -1.2436e+00           8.2918e-01             2.9273e+00              1.9935e-04      1.2438e+00     -3.2424e-01
      1.4000e+02     -3.9615e-01       1.6962e+00       -1.1882e+00           7.9231e-01             2.8846e+00              2.9002e-04      1.1885e+00     -2.7247e-01
      1.4500e+02     -3.7883e-01       1.7082e+00       -1.1361e+00           7.5765e-01             2.8447e+00              4.0954e-04      1.1365e+00     -2.3677e-01
      1.5000e+02     -3.6334e-01       1.7188e+00       -1.0895e+00           7.2668e-01             2.8088e+00              5.6433e-04      1.0900e+00     -2.0638e-01
      1.5500e+02     -3.5050e-01       1.7270e+00       -1.0507e+00           7.0100e-01             2.7785e+00              7.6301e-04      1.0515e+00     -1.7775e-01
      1.6000e+02     -3.3949e-01       1.7338e+00       -1.0175e+00           6.7898e-01             2.7522e+00              1.0129e-03      1.0185e+00     -1.5404e-01
      1.6500e+02     -3.2998e-01       1.7393e+00       -9.8863e-01           6.5996e-01             2.7292e+00              1.3222e-03      9.8995e-01     -1.3506e-01
      1.7000e+02     -3.2175e-01       1.7438e+00       -9.6354e-01           6.4349e-01             2.7091e+00              1.6995e-03      9.6524e-01     -1.1919e-01
      1.7500e+02     -3.1459e-01       1.7476e+00       -9.4162e-01           6.2918e-01             2.6914e+00              2.1539e-03      9.4377e-01     -1.0560e-01
      1.8000e+02     -3.0836e-01       1.7506e+00       -9.2238e-01           6.1672e-01             2.6757e+00              2.6945e-03      9.2508e-01     -9.4186e-02
      1.8500e+02     -3.0292e-01       1.7531e+00       -9.0543e-01           6.0584e-01             2.6619e+00              3.3306e-03      9.0876e-01     -8.4559e-02
      1.9000e+02     -2.9818e-01       1.7551e+00       -8.9045e-01           5.9635e-01             2.6496e+00              4.0714e-03      8.9453e-01     -7.6360e-02
      1.9500e+02     -2.9404e-01       1.7567e+00       -8.7719e-01           5.8808e-01             2.6388e+00              4.9261e-03      8.8212e-01     -6.9709e-02
      2.0000e+02     -2.9043e-01       1.7579e+00       -8.6537e-01           5.8085e-01             2.6292e+00              5.9035e-03      8.7128e-01     -6.3856e-02
      2.0500e+02     -2.8727e-01       1.7588e+00       -8.5479e-01           5.7454e-01             2.6206e+00              7.0119e-03      8.6180e-01     -5.8403e-02
      2.1000e+02     -2.8451e-01       1.7595e+00       -8.4527e-01           5.6902e-01             2.6130e+00              8.2592e-03      8.5353e-01     -5.3280e-02
      2.1500e+02     -2.8209e-01       1.7599e+00       -8.3661e-01           5.6417e-01             2.6062e+00              9.6521e-03      8.4626e-01     -4.8347e-02
      2.2000e+02     -2.8000e-01       1.7602e+00       -8.2881e-01           5.6000e-01             2.6002e+00              1.1199e-02      8.4001e-01     -4.3704e-02
      2.2500e+02     -2.7827e-01       1.7602e+00       -8.2190e-01           5.5654e-01             2.5950e+00              1.2908e-02      8.3481e-01     -3.9429e-02
      2.3000e+02     -2.7681e-01       1.7600e+00       -8.1564e-01           5.5361e-01             2.5904e+00              1.4784e-02      8.3042e-01     -3.5342e-02
      2.3500e+02     -2.7556e-01       1.7597e+00       -8.0985e-01           5.5112e-01             2.5864e+00              1.6830e-02      8.2668e-01     -3.1491e-02
      2.4000e+02     -2.7450e-01       1.7594e+00       -8.0444e-01           5.4900e-01             2.5829e+00              1.9048e-02      8.2349e-01     -2.7413e-02
      2.4500e+02     -2.7358e-01       1.7589e+00       -7.9929e-01           5.4715e-01             2.5797e+00              2.1440e-02      8.2073e-01     -2.2141e-02
      2.5000e+02     -2.7279e-01       1.7585e+00       -7.9438e-01           5.4559e-01             2.5768e+00              2.4008e-02      8.1838e-01     -1.7384e-02
      2.5500e+02     -2.7214e-01       1.7579e+00       -7.8967e-01           5.4428e-01             2.5743e+00              2.6753e-02      8.1642e-01     -1.4610e-02
      2.6000e+02     -2.7158e-01       1.7573e+00       -7.8507e-01           5.4316e-01             2.5721e+00              2.9671e-02      8.1474e-01     -1.3310e-02
      2.6500e+02     -2.7110e-01       1.7567e+00       -7.8053e-01           5.4219e-01             2.5700e+00              3.2761e-02      8.1329e-01     -1.3764e-02
      2.7000e+02     -2.7064e-01       1.7562e+00       -7.7589e-01           5.4127e-01             2.5681e+00              3.6013e-02      8.1191e-01     -1.5114e-02
      2.7500e+02     -2.7014e-01       1.7557e+00       -7.7102e-01           5.4029e-01             2.5662e+00              3.9415e-02      8.1043e-01     -1.6583e-02
      2.8000e+02     -2.6959e-01       1.7554e+00       -7.6582e-01           5.3918e-01             2.5641e+00              4.2955e-02      8.0877e-01     -1.8332e-02
      2.8500e+02     -2.6892e-01       1.7552e+00       -7.6015e-01           5.3784e-01             2.5619e+00              4.6615e-02      8.0676e-01     -2.0259e-02
      2.9000e+02     -2.6816e-01       1.7551e+00       -7.5408e-01           5.3631e-01             2.5596e+00              5.0385e-02      8.0446e-01     -2.2369e-02
      2.9500e+02     -2.6731e-01       1.7552e+00       -7.4767e-01           5.3462e-01             2.5571e+00              5.4256e-02      8.0192e-01     -2.4638e-02
      3.0000e+02     -2.6636e-01       1.7554e+00       -7.4086e-01           5.3271e-01             2.5545e+00              5.8211e-02      7.9907e-01     -2.7052e-02
      3.0500e+02     -2.6525e-01       1.7558e+00       -7.3353e-01           5.3050e-01             2.5516e+00              6.2225e-02      7.9575e-01     -2.9586e-02
      3.1000e+02     -2.6408e-01       1.7564e+00       -7.2594e-01           5.2816e-01             2.5486e+00              6.6302e-02      7.9224e-01     -3.2234e-02
      3.1500e+02     -2.6292e-01       1.7569e+00       -7.1832e-01           5.2585e-01             2.5457e+00              7.0451e-02      7.8877e-01     -3.4991e-02
      3.2000e+02     -2.6175e-01       1.7575e+00       -7.1060e-01           5.2350e-01             2.5427e+00              7.4655e-02      7.8525e-01     -3.7841e-02
      3.2500e+02     -2.6056e-01       1.7581e+00       -7.0279e-01           5.2113e-01             2.5398e+00              7.8903e-02      7.8169e-01     -4.0772e-02
      3.3000e+02     -2.5936e-01       1.7587e+00       -6.9490e-01           5.1873e-01             2.5368e+00              8.3186e-02      7.7809e-01     -4.3767e-02
      3.3500e+02     -2.5815e-01       1.7594e+00       -6.8696e-01           5.1631e-01             2.5339e+00              8.7495e-02      7.7446e-01     -4.6803e-02
      3.4000e+02     -2.5694e-01       1.7601e+00       -6.7898e-01           5.1387e-01             2.5309e+00              9.1821e-02      7.7081e-01     -4.9886e-02
      3.4500e+02     -2.5571e-01       1.7609e+00       -6.7098e-01           5.1142e-01             2.5280e+00              9.6155e-02      7.6714e-01     -5.2978e-02
      3.5000e+02     -2.5449e-01       1.7616e+00       -6.6297e-01           5.0898e-01             2.5251e+00              1.0049e-01      7.6346e-01     -5.6215e-02
      3.5500e+02     -2.5327e-01       1.7624e+00       -6.5499e-01           5.0654e-01             2.5222e+00              1.0482e-01      7.5981e-01     -5.9834e-02
      3.6000e+02     -2.5205e-01       1.7632e+00       -6.4702e-01           5.0411e-01             2.5194e+00              1.0914e-01      7.5616e-01     -6.3466e-02
      3.6500e+02     -2.5084e-01       1.7640e+00       -6.3907e-01           5.0167e-01             2.5165e+00              1.1344e-01      7.5251e-01     -6.6752e-02
      3.7000e+02     -2.4962e-01       1.7648e+00       -6.3116e-01           4.9924e-01             2.5137e+00              1.1771e-01      7.4886e-01     -6.9944e-02
      3.7500e+02     -2.4841e-01       1.7657e+00       -6.2330e-01           4.9683e-01             2.5109e+00              1.2194e-01      7.4524e-01     -7.3185e-02
      3.8000e+02     -2.4722e-01       1.7665e+00       -6.1550e-01           4.9443e-01             2.5082e+00              1.2615e-01      7.4165e-01     -7.6419e-02
      3.8500e+02     -2.4603e-01       1.7674e+00       -6.0778e-01           4.9205e-01             2.5054e+00              1.3031e-01      7.3808e-01     -7.9636e-02
      3.9000e+02     -2.4485e-01       1.7682e+00       -6.0013e-01           4.8970e-01             2.5028e+00              1.3442e-01      7.3455e-01     -8.2835e-02
      3.9500e+02     -2.4368e-01       1.7691e+00       -5.9256e-01           4.8737e-01             2.5001e+00              1.3849e-01      7.3105e-01     -8.6015e-02
      4.0000e+02     -2.4253e-01       1.7699e+00       -5.8509e-01           4.8506e-01             2.4975e+00              1.4250e-01      7.2759e-01     -8.9169e-02
      4.0500e+02     -2.4139e-01       1.7707e+00       -5.7771e-01           4.8278e-01             2.4949e+00              1.4646e-01      7.2417e-01     -9.2293e-02
      4.1000e+02     -2.4027e-01       1.7716e+00       -5.7044e-01           4.8053e-01             2.4924e+00              1.5036e-01      7.2080e-01     -9.5383e-02
      4.1500e+02     -2.3916e-01       1.7724e+00       -5.6327e-01           4.7832e-01             2.4899e+00              1.5420e-01      7.1748e-01     -9.8434e-02
      4.2000e+02     -2.3807e-01       1.7732e+00       -5.5622e-01           4.7613e-01             2.4874e+00              1.5798e-01      7.1420e-01     -1.0145e-01
      4.2500e+02     -2.3699e-01       1.7741e+00       -5.4927e-01           4.7398e-01             2.4850e+00              1.6170e-01      7.1097e-01     -1.0442e-01
      4.3000e+02     -2.3593e-01       1.7749e+00       -5.4244e-01           4.7186e-01             2.4827e+00              1.6535e-01      7.0779e-01     -1.0736e-01
      4.3500e+02     -2.3489e-01       1.7757e+00       -5.3572e-01           4.6977e-01             2.4803e+00              1.6893e-01      7.0466e-01     -1.1025e-01
      4.4000e+02     -2.3386e-01       1.7765e+00       -5.2913e-01           4.6772e-01             2.4780e+00              1.7245e-01      7.0158e-01     -1.1309e-01
      4.4500e+02     -2.3285e-01       1.7772e+00       -5.2265e-01           4.6570e-01             2.4758e+00              1.7591e-01      6.9856e-01     -1.1589e-01
      4.5000e+02     -2.3186e-01       1.7780e+00       -5.1629e-01           4.6372e-01             2.4736e+00              1.7929e-01      6.9558e-01     -1.1863e-01
      4.5500e+02     -2.3089e-01       1.7788e+00       -5.1005e-01           4.6178e-01             2.4714e+00              1.8261e-01      6.9266e-01     -1.2134e-01
      4.6000e+02     -2.2993e-01       1.7795e+00       -5.0393e-01           4.5986e-01             2.4693e+00              1.8586e-01      6.8980e-01     -1.2399e-01
      4.6500e+02     -2.2899e-01       1.7803e+00       -4.9794e-01           4.5799e-01             2.4673e+00              1.8905e-01      6.8698e-01     -1.2659e-01
      4.7000e+02     -2.2807e-01       1.7810e+00       -4.9206e-01           4.5615e-01             2.4652e+00              1.9216e-01      6.8422e-01     -1.2914e-01
      4.7500e+02     -2.2717e-01       1.7817e+00       -4.8630e-01           4.5434e-01             2.4632e+00              1.9522e-01      6.8151e-01     -1.3164e-01
      4.8000e+02     -2.2629e-01       1.7824e+00       -4.8066e-01           4.5257e-01             2.4613e+00              1.9820e-01      6.7886e-01     -1.3409e-01
      4.8500e+02     -2.2542e-01       1.7831e+00       -4.7513e-01           4.5083e-01             2.4594e+00              2.0112e-01      6.7625e-01     -1.3649e-01
      4.9000e+02     -2.2457e-01       1.7838e+00       -4.6972e-01           4.4913e-01             2.4575e+00              2.0398e-01      6.7370e-01     -1.3884e-01
      4.9500e+02     -2.2373e-01       1.7845e+00       -4.6442e-01           4.4746e-01             2.4557e+00              2.0677e-01      6.7119e-01     -1.4114e-01
      5.0000e+02     -2.2291e-01       1.7851e+00       -4.5924e-01           4.4582e-01             2.4539e+00              2.0950e-01      6.6874e-01     -1.4338e-01
      5.0500e+02     -2.2211e-01       1.7858e+00       -4.5416e-01           4.4422e-01             2.4521e+00              2.1217e-01      6.6633e-01     -1.4558e-01
      5.1000e+02     -2.2132e-01       1.7864e+00       -4.4920e-01           4.4265e-01             2.4504e+00              2.1477e-01      6.6397e-01     -1.4772e-01
      5.1500e+02     -2.2055e-01       1.7870e+00       -4.4434e-01           4.4111e-01             2.4487e+00              2.1732e-01      6.6166e-01     -1.4982e-01
      5.2000e+02     -2.1980e-01       1.7877e+00       -4.3959e-01           4.3960e-01             2.4470e+00              2.1981e-01      6.5939e-01     -1.5187e-01
      5.2500e+02     -2.1906e-01       1.7883e+00       -4.3494e-01           4.3812e-01             2.4454e+00              2.2224e-01      6.5717e-01     -1.5387e-01
      5.3000e+02     -2.1833e-01       1.7888e+00       -4.3039e-01           4.3667e-01             2.4438e+00              2.2461e-01      6.5500e-01     -1.5582e-01
      5.3500e+02     -2.1762e-01       1.7894e+00       -4.2594e-01           4.3525e-01             2.4423e+00              2.2693e-01      6.5287e-01     -1.5772e-01
      5.4000e+02     -2.1693e-01       1.7900e+00       -4.2158e-01           4.3385e-01             2.4408e+00              2.2919e-01      6.5078e-01     -1.5957e-01
      5.4500e+02     -2.1624e-01       1.7906e+00       -4.1733e-01           4.3249e-01             2.4393e+00              2.3140e-01      6.4873e-01     -1.6138e-01
      5.5000e+02     -2.1557e-01       1.7911e+00       -4.1316e-01           4.3115e-01             2.4378e+00              2.3356e-01      6.4672e-01     -1.6314e-01
      5.5500e+02     -2.1492e-01       1.7916e+00       -4.0909e-01           4.2984e-01             2.4364e+00              2.3567e-01      6.4476e-01     -1.6486e-01
      5.6000e+02     -2.1428e-01       1.7922e+00       -4.0511e-01           4.2855e-01             2.4350e+00              2.3772e-01      6.4283e-01     -1.6653e-01
      5.6500e+02     -2.1365e-01       1.7927e+00       -4.0121e-01           4.2729e-01             2.4336e+00              2.3973e-01      6.4094e-01     -1.6815e-01
      5.7000e+02     -2.1303e-01       1.7932e+00       -3.9740e-01           4.2606e-01             2.4323e+00              2.4169e-01      6.3908e-01     -1.6973e-01
      5.7500e+02     -2.1242e-01       1.7937e+00       -3.9367e-01           4.2484e-01             2.4310e+00              2.4360e-01      6.3727e-01     -1.7127e-01
      5.8000e+02     -2.1183e-01       1.7942e+00       -3.9002e-01           4.2366e-01             2.4297e+00              2.4546e-01      6.3548e-01     -1.7277e-01
      5.8500e+02     -2.1125e-01       1.7947e+00       -3.8645e-01           4.2249e-01             2.4284e+00              2.4729e-01      6.3374e-01     -1.7422e-01
      5.9000e+02     -2.1067e-01       1.7951e+00       -3.8296e-01           4.2135e-01             2.4272e+00              2.4906e-01      6.3202e-01     -1.7563e-01
      5.9500e+02     -2.1011e-01       1.7956e+00       -3.7954e-01           4.2023e-01             2.4259e+00              2.5080e-01      6.3034e-01     -1.7700e-01
      6.0000e+02     -2.0956e-01       1.7961e+00       -3.7620e-01           4.1913e-01             2.4248e+00              2.5249e-01      6.2869e-01     -1.7834e-01
      6.0500e+02     -2.0902e-01       1.7965e+00       -3.7293e-01           4.1805e-01             2.4236e+00              2.5414e-01      6.2707e-01     -1.7963e-01
      6.1000e+02     -2.0849e-01       1.7970e+00       -3.6973e-01           4.1699e-01             2.4224e+00              2.5575e-01      6.2548e-01     -1.8088e-01
      6.1500e+02     -2.0797e-01       1.7974e+00       -3.6659e-01           4.1595e-01             2.4213e+00              2.5733e-01      6.2392e-01     -1.8209e-01
      6.2000e+02     -2.0746e-01       1.7978e+00       -3.6353e-01           4.1493e-01             2.4202e+00              2.5886e-01      6.2239e-01     -1.8327e-01
      6.2500e+02     -2.0696e-01       1.7982e+00       -3.6053e-01           4.1392e-01             2.4191e+00              2.6036e-01      6.2088e-01     -1.8441e-01
      6.3000e+02     -2.0647e-01       1.7986e+00       -3.5759e-01           4.1294e-01             2.4181e+00              2.6182e-01      6.1941e-01     -1.8551e-01
      6.3500e+02     -2.0599e-01       1.7991e+00       -3.5471e-01           4.1197e-01             2.4170e+00              2.6324e-01      6.1796e-01     -1.8658e-01
      6.4000e+02     -2.0551e-01       1.7994e+00       -3.5189e-01           4.1102e-01             2.4160e+00              2.6464e-01      6.1653e-01     -1.8761e-01
      6.4500e+02     -2.0504e-01       1.7998e+00       -3.4913e-01           4.1009e-01             2.4150e+00              2.6599e-01      6.1513e-01     -1.8861e-01
      6.5000e+02     -2.0458e-01       1.8002e+00       -3.4643e-01           4.0917e-01             2.4140e+00              2.6732e-01      6.1375e-01     -1.8958e-01
      6.5500e+02     -2.0413e-01       1.8006e+00       -3.4379e-01           4.0826e-01             2.4130e+00              2.6861e-01      6.1240e-01     -1.9051e-01
      6.6000e+02     -2.0369e-01       1.8010e+00       -3.4119e-01           4.0738e-01             2.4120e+00              2.6987e-01      6.1106e-01     -1.9141e-01
      6.6500e+02     -2.0325e-01       1.8013e+00       -3.3865e-01           4.0650e-01             2.4111e+00              2.7110e-01      6.0976e-01     -1.9227e-01
      6.7000e+02     -2.0282e-01       1.8017e+00       -3.3617e-01           4.0565e-01             2.4102e+00              2.7230e-01      6.0847e-01     -1.9310e-01
      6.7500e+02     -2.0240e-01       1.8021e+00       -3.3373e-01           4.0480e-01             2.4093e+00              2.7348e-01      6.0720e-01     -1.9390e-01
      6.8000e+02     -2.0199e-01       1.8024e+00       -3.3134e-01           4.0397e-01             2.4084e+00              2.7462e-01      6.0596e-01     -1.9468e-01
      6.8500e+02     -2.0158e-01       1.8028e+00       -3.2900e-01           4.0315e-01             2.4075e+00              2.7573e-01      6.0473e-01     -1.9542e-01
      6.9000e+02     -2.0117e-01       1.8031e+00       -3.2670e-01           4.0235e-01             2.4066e+00              2.7682e-01      6.0352e-01     -1.9613e-01
      6.9500e+02     -2.0078e-01       1.8034e+00       -3.2445e-01           4.0156e-01             2.4058e+00              2.7788e-01      6.0234e-01     -1.9681e-01
      7.0000e+02     -2.0039e-01       1.8038e+00       -3.2225e-01           4.0078e-01             2.4049e+00              2.7892e-01      6.0117e-01     -1.9747e-01
      7.0500e+02     -2.0000e-01       1.8041e+00       -3.2008e-01           4.0001e-01             2.4041e+00              2.7993e-01      6.0001e-01     -1.9810e-01
      7.1000e+02     -1.9963e-01       1.8044e+00       -3.1796e-01           3.9925e-01             2.4033e+00              2.8092e-01      5.9888e-01     -1.9870e-01
      7.1500e+02     -1.9925e-01       1.8047e+00       -3.1588e-01           3.9851e-01             2.4025e+00              2.8188e-01      5.9776e-01     -1.9927e-01
      7.2000e+02     -1.9889e-01       1.8050e+00       -3.1384e-01           3.9777e-01             2.4017e+00              2.8282e-01      5.9666e-01     -1.9982e-01
      7.2500e+02     -1.9852e-01       1.8054e+00       -3.1184e-01           3.9705e-01             2.4009e+00              2.8373e-01      5.9557e-01     -2.0034e-01
      7.3000e+02     -1.9817e-01       1.8057e+00       -3.0987e-01           3.9633e-01             2.4002e+00              2.8463e-01      5.9450e-01     -2.0084e-01
      7.3500e+02     -1.9781e-01       1.8060e+00       -3.0794e-01           3.9563e-01             2.3994e+00              2.8550e-01      5.9344e-01     -2.0131e-01
      7.4000e+02     -1.9747e-01       1.8063e+00       -3.0605e-01           3.9493e-01             2.3987e+00              2.8635e-01      5.9240e-01     -2.0176e-01
      7.4500e+02     -1.9712e-01       1.8066e+00       -3.0419e-01           3.9425e-01             2.3979e+00              2.8718e-01      5.9137e-01     -2.0218e-01
      7.5000e+02     -1.9679e-01       1.8068e+00       -3.0237e-01           3.9357e-01             2.3972e+00              2.8799e-01      5.9036e-01     -2.0258e-01
      7.5500e+02     -1.9645e-01       1.8071e+00       -3.0058e-01           3.9291e-01             2.3965e+00              2.8878e-01      5.8936e-01     -2.0296e-01
      7.6000e+02     -1.9613e-01       1.8074e+00       -2.9883e-01           3.9225e-01             2.3958e+00              2.8955e-01      5.8838e-01     -2.0332e-01
      7.6500e+02     -1.9580e-01       1.8077e+00       -2.9710e-01           3.9160e-01             2.3951e+00              2.9030e-01      5.8740e-01     -2.0365e-01
      7.7000e+02     -1.9548e-01       1.8080e+00       -2.9541e-01           3.9096e-01             2.3944e+00              2.9103e-01      5.8644e-01     -2.0396e-01
      7.7500e+02     -1.9516e-01       1.8082e+00       -2.9374e-01           3.9033e-01             2.3937e+00              2.9175e-01      5.8549e-01     -2.0426e-01
      7.8000e+02     -1.9485e-01       1.8085e+00       -2.9211e-01           3.8970e-01             2.3931e+00              2.9244e-01      5.8455e-01     -2.0453e-01
      7.8500e+02     -1.9454e-01       1.8088e+00       -2.9050e-01           3.8908e-01             2.3924e+00              2.9313e-01      5.8363e-01     -2.0478e-01
      7.9000e+02     -1.9424e-01       1.8090e+00       -2.8892e-01           3.8848e-01             2.3918e+00              2.9379e-01      5.8271e-01     -2.0501e-01
      7.9500e+02     -1.9394e-01       1.8093e+00       -2.8737e-01           3.8787e-01             2.3911e+00              2.9443e-01      5.8181e-01     -2.0522e-01
      8.0000e+02     -1.9364e-01       1.8096e+00       -2.8585e-01           3.8728e-01             2.3905e+00              2.9507e-01      5.8092e-01     -2.0542e-01
      8.0500e+02     -1.9334e-01       1.8098e+00       -2.8435e-01           3.8669e-01             2.3898e+00              2.9568e-01      5.8003e-01     -2.0559e-01
      8.1000e+02     -1.9305e-01       1.8101e+00       -2.8288e-01           3.8611e-01             2.3892e+00              2.9628e-01      5.7916e-01     -2.0575e-01
      8.1500e+02     -1.9277e-01       1.8103e+00       -2.8144e-01           3.8553e-01             2.3886e+00              2.9687e-01      5.7830e-01     -2.0589e-01
      8.2000e+02     -1.9248e-01       1.8106e+00       -2.8001e-01           3.8497e-01             2.3880e+00              2.9744e-01      5.7745e-01     -2.0601e-01
      8.2500e+02     -1.9220e-01       1.8108e+00       -2.7862e-01           3.8440e-01             2.3874e+00              2.9799e-01      5.7661e-01     -2.0612e-01
      8.3000e+02     -1.9192e-01       1.8110e+00       -2.7724e-01           3.8385e-01             2.3868e+00              2.9853e-01      5.7577e-01     -2.0621e-01
      8.3500e+02     -1.9165e-01       1.8113e+00       -2.7589e-01           3.8330e-01             2.3862e+00              2.9906e-01      5.7495e-01     -2.0629e-01
      8.4000e+02     -1.9138e-01       1.8115e+00       -2.7456e-01           3.8276e-01             2.3857e+00              2.9958e-01      5.7414e-01     -2.0634e-01
      8.4500e+02     -1.9111e-01       1.8118e+00       -2.7325e-01           3.8222e-01             2.3851e+00              3.0008e-01      5.7333e-01     -2.0639e-01
      8.5000e+02     -1.9084e-01       1.8120e+00       -2.7196e-01           3.8169e-01             2.3845e+00              3.0057e-01      5.7253e-01     -2.0642e-01
      8.5500e+02     -1.9058e-01       1.8122e+00       -2.7070e-01           3.8116e-01             2.3840e+00              3.0105e-01      5.7174e-01     -2.0643e-01
      8.6000e+02     -1.9032e-01       1.8124e+00       -2.6945e-01           3.8064e-01             2.3834e+00              3.0151e-01      5.7096e-01     -2.0643e-01
      8.6500e+02     -1.9006e-01       1.8127e+00       -2.6822e-01           3.8013e-01             2.3829e+00              3.0196e-01      5.7019e-01     -2.0642e-01
      8.7000e+02     -1.8981e-01       1.8129e+00       -2.6702e-01           3.7962e-01             2.3823e+00              3.0241e-01      5.6942e-01     -2.0639e-01
      8.7500e+02     -1.8956e-01       1.8131e+00       -2.6583e-01           3.7911e-01             2.3818e+00              3.0284e-01      5.6867e-01     -2.0635e-01
      8.8000e+02     -1.8931e-01       1.8133e+00       -2.6466e-01           3.7861e-01             2.3813e+00              3.0326e-01      5.6792e-01     -2.0630e-01
      8.8500e+02     -1.8906e-01       1.8136e+00       -2.6351e-01           3.7812e-01             2.3807e+00              3.0366e-01      5.6717e-01     -2.0623e-01
      8.9000e+02     -1.8881e-01       1.8138e+00       -2.6238e-01           3.7763e-01             2.3802e+00              3.0406e-01      5.6644e-01     -2.0616e-01
      8.9500e+02     -1.8857e-01       1.8140e+00       -2.6126e-01           3.7714e-01             2.3797e+00              3.0445e-01      5.6571e-01     -2.0607e-01
      9.0000e+02     -1.8833e-01       1.8142e+00       -2.6016e-01           3.7666e-01             2.3792e+00              3.0483e-01      5.6499e-01     -2.0596e-01
      9.0500e+02     -1.8809e-01       1.8144e+00       -2.5908e-01           3.7619e-01             2.3787e+00              3.0520e-01      5.6428e-01     -2.0585e-01
      9.1000e+02     -1.8786e-01       1.8146e+00       -2.5802e-01           3.7571e-01             2.3782e+00              3.0555e-01      5.6357e-01     -2.0573e-01
      9.1500e+02     -1.8762e-01       1.8148e+00       -2.5697e-01           3.7525e-01             2.3777e+00              3.0590e-01      5.6287e-01     -2.0560e-01
