#        T (MeV)     d\mu_e/dL_e   d\mu_\mu/dL_e  d\mu_\tau/dL_e  d\mu_{\nu_e}/dL_e   d\mu_{\nu_\mu}/dL_e  d\mu_{\nu_\tau}/dL_e     d\mu_Q/dL_e     d\mu_B/dL_e in units of T^-2
      1.0000e+01      4.8778e-03     -5.9759e+00     -5.9854e+00         5.9902e+00            9.5167e-03            1.5717e-73      5.9854e+00     -3.1852e+00
      1.5000e+01      9.4852e-02     -5.5394e+00     -5.7155e+00         5.8103e+00            1.7605e-01            4.1135e-48      5.7155e+00     -2.9780e+00
      2.0000e+01      3.2914e-01     -4.4388e+00     -5.0127e+00         5.3418e+00            5.7388e-01            1.6454e-35      5.0127e+00     -2.5846e+00
      2.5000e+01      5.8129e-01     -3.3132e+00     -4.2562e+00         4.8375e+00            9.4303e-01            5.2200e-28      4.2562e+00     -2.1797e+00
      3.0000e+01      7.7671e-01     -2.5038e+00     -3.6699e+00         4.4467e+00            1.1661e+00            4.8654e-23      3.6699e+00     -1.8687e+00
      3.5000e+01      9.1793e-01     -1.9710e+00     -3.2463e+00         4.1642e+00            1.2753e+00            1.6469e-19      3.2463e+00     -1.6425e+00
      4.0000e+01      1.0214e+00     -1.6178e+00     -2.9359e+00         3.9573e+00            1.3180e+00            7.0592e-17      2.9359e+00     -1.4736e+00
      4.5000e+01      1.0996e+00     -1.3758e+00     -2.7011e+00         3.8008e+00            1.3253e+00            7.6566e-15      2.7011e+00     -1.3417e+00
      5.0000e+01      1.1607e+00     -1.2036e+00     -2.5180e+00         3.6787e+00            1.3143e+00            3.1826e-13      2.5180e+00     -1.2341e+00
      5.5000e+01      1.2096e+00     -1.0768e+00     -2.3712e+00         3.5808e+00            1.2945e+00            6.6021e-12      2.3712e+00     -1.4907e+00
      6.0000e+01      1.2501e+00     -9.7978e-01     -2.2498e+00         3.4999e+00            1.2700e+00            8.1443e-11      2.2498e+00     -1.0634e+00
      6.5000e+01      1.2841e+00     -9.0381e-01     -2.1478e+00         3.4319e+00            1.2440e+00            6.7477e-10      2.1478e+00     -1.0297e+00
      7.0000e+01      1.3135e+00     -8.4247e-01     -2.0597e+00         3.3731e+00            1.2172e+00            4.0920e-09      2.0597e+00     -9.2797e-01
      7.5000e+01      1.3393e+00     -7.9180e-01     -1.9822e+00         3.3215e+00            1.1904e+00            1.9348e-08      1.9822e+00     -8.8096e-01
      8.0000e+01      1.3625e+00     -7.4889e-01     -1.9125e+00         3.2750e+00            1.1636e+00            7.4755e-08      1.9125e+00     -8.1425e-01
      8.5000e+01      1.3838e+00     -7.1176e-01     -1.8487e+00         3.2324e+00            1.1369e+00            2.4463e-07      1.8487e+00     -7.6807e-01
      9.0000e+01      1.4037e+00     -6.7890e-01     -1.7890e+00         3.1926e+00            1.1101e+00            6.9827e-07      1.7890e+00     -7.1615e-01
      9.5000e+01      1.4226e+00     -6.4924e-01     -1.7322e+00         3.1548e+00            1.0829e+00            1.7713e-06      1.7322e+00     -6.7371e-01
      1.0000e+02      1.4410e+00     -6.2188e-01     -1.6771e+00         3.1181e+00            1.0553e+00            4.0662e-06      1.6771e+00     -6.3040e-01
      1.0500e+02      1.4590e+00     -5.9621e-01     -1.6230e+00         3.0820e+00            1.0268e+00            8.5670e-06      1.6230e+00     -5.9217e-01
      1.1000e+02      1.4770e+00     -5.7168e-01     -1.5691e+00         3.0460e+00            9.9739e-01            1.6752e-05      1.5691e+00     -5.5476e-01
      1.1500e+02      1.4951e+00     -5.4792e-01     -1.5147e+00         3.0099e+00            9.6685e-01            3.0691e-05      1.5148e+00     -5.2463e-01
      1.2000e+02      1.5135e+00     -5.2457e-01     -1.4595e+00         2.9730e+00            9.3495e-01            5.3076e-05      1.4595e+00     -4.8740e-01
      1.2500e+02      1.5322e+00     -5.0152e-01     -1.4032e+00         2.9356e+00            9.0181e-01            8.7223e-05      1.4033e+00     -4.6011e-01
      1.3000e+02      1.5516e+00     -4.7834e-01     -1.3451e+00         2.8968e+00            8.6692e-01            1.3687e-04      1.3453e+00     -4.0789e-01
      1.3500e+02      1.5722e+00     -4.5431e-01     -1.2833e+00         2.8557e+00            8.2918e-01            2.0572e-04      1.2835e+00     -3.3459e-01
      1.4000e+02      1.5921e+00     -4.3137e-01     -1.2234e+00         2.8158e+00            7.9231e-01            2.9861e-04      1.2237e+00     -2.8055e-01
      1.4500e+02      1.6107e+00     -4.1017e-01     -1.1674e+00         2.7785e+00            7.5765e-01            4.2083e-04      1.1678e+00     -2.4330e-01
      1.5000e+02      1.6273e+00     -3.9138e-01     -1.1175e+00         2.7454e+00            7.2668e-01            5.7885e-04      1.1181e+00     -2.1169e-01
      1.5500e+02      1.6411e+00     -3.7580e-01     -1.0760e+00         2.7179e+00            7.0100e-01            7.8137e-04      1.0768e+00     -1.8203e-01
      1.6000e+02      1.6529e+00     -3.6246e-01     -1.0404e+00         2.6943e+00            6.7898e-01            1.0357e-03      1.0414e+00     -1.5751e-01
      1.6500e+02      1.6630e+00     -3.5095e-01     -1.0096e+00         2.6739e+00            6.5996e-01            1.3502e-03      1.0109e+00     -1.3792e-01
      1.7000e+02      1.6718e+00     -3.4099e-01     -9.8274e-01         2.6563e+00            6.4349e-01            1.7334e-03      9.8448e-01     -1.2156e-01
      1.7500e+02      1.6795e+00     -3.3232e-01     -9.5931e-01         2.6410e+00            6.2918e-01            2.1944e-03      9.6150e-01     -1.0758e-01
      1.8000e+02      1.6862e+00     -3.2477e-01     -9.3875e-01         2.6277e+00            6.1672e-01            2.7424e-03      9.4149e-01     -9.5857e-02
      1.8500e+02      1.6920e+00     -3.1817e-01     -9.2063e-01         2.6160e+00            6.0584e-01            3.3865e-03      9.2401e-01     -8.5979e-02
      1.9000e+02      1.6971e+00     -3.1240e-01     -9.0461e-01         2.6058e+00            5.9635e-01            4.1361e-03      9.0875e-01     -7.7575e-02
      1.9500e+02      1.7015e+00     -3.0734e-01     -8.9042e-01         2.5969e+00            5.8808e-01            5.0004e-03      8.9542e-01     -7.0761e-02
      2.0000e+02      1.7054e+00     -3.0291e-01     -8.7778e-01         2.5892e+00            5.8085e-01            5.9881e-03      8.8376e-01     -6.4771e-02
      2.0500e+02      1.7088e+00     -2.9902e-01     -8.6644e-01         2.5824e+00            5.7454e-01            7.1075e-03      8.7355e-01     -5.9200e-02
      2.1000e+02      1.7118e+00     -2.9559e-01     -8.5624e-01         2.5764e+00            5.6902e-01            8.3664e-03      8.6461e-01     -5.3971e-02
      2.1500e+02      1.7144e+00     -2.9256e-01     -8.4696e-01         2.5712e+00            5.6417e-01            9.7716e-03      8.5674e-01     -4.8946e-02
      2.2000e+02      1.7167e+00     -2.8993e-01     -8.3860e-01         2.5666e+00            5.6000e-01            1.1331e-02      8.4993e-01     -4.4221e-02
      2.2500e+02      1.7186e+00     -2.8770e-01     -8.3118e-01         2.5628e+00            5.5654e-01            1.3054e-02      8.4423e-01     -3.9874e-02
      2.3000e+02      1.7202e+00     -2.8578e-01     -8.2445e-01         2.5596e+00            5.5361e-01            1.4944e-02      8.3939e-01     -3.5723e-02
      2.3500e+02      1.7216e+00     -2.8411e-01     -8.1823e-01         2.5568e+00            5.5112e-01            1.7004e-02      8.3523e-01     -3.1816e-02
      2.4000e+02      1.7228e+00     -2.8266e-01     -8.1242e-01         2.5544e+00            5.4900e-01            1.9237e-02      8.3166e-01     -2.7684e-02
      2.4500e+02      1.7238e+00     -2.8138e-01     -8.0689e-01         2.5524e+00            5.4715e-01            2.1644e-02      8.2853e-01     -2.2352e-02
      2.5000e+02      1.7247e+00     -2.8027e-01     -8.0163e-01         2.5506e+00            5.4559e-01            2.4228e-02      8.2586e-01     -1.7543e-02
      2.5500e+02      1.7255e+00     -2.7930e-01     -7.9660e-01         2.5491e+00            5.4428e-01            2.6988e-02      8.2358e-01     -1.4739e-02
      2.6000e+02      1.7261e+00     -2.7845e-01     -7.9169e-01         2.5477e+00            5.4316e-01            2.9922e-02      8.2161e-01     -1.3422e-02
      2.6500e+02      1.7267e+00     -2.7770e-01     -7.8687e-01         2.5466e+00            5.4219e-01            3.3027e-02      8.1989e-01     -1.3876e-02
      2.7000e+02      1.7272e+00     -2.7698e-01     -7.8196e-01         2.5455e+00            5.4127e-01            3.6295e-02      8.1825e-01     -1.5232e-02
      2.7500e+02      1.7278e+00     -2.7625e-01     -7.7683e-01         2.5444e+00            5.4029e-01            3.9712e-02      8.1654e-01     -1.6708e-02
      2.8000e+02      1.7285e+00     -2.7547e-01     -7.7138e-01         2.5431e+00            5.3918e-01            4.3268e-02      8.1465e-01     -1.8465e-02
      2.8500e+02      1.7292e+00     -2.7458e-01     -7.6548e-01         2.5416e+00            5.3784e-01            4.6942e-02      8.1242e-01     -2.0401e-02
      2.9000e+02      1.7300e+00     -2.7360e-01     -7.5919e-01         2.5399e+00            5.3631e-01            5.0726e-02      8.0991e-01     -2.2520e-02
      2.9500e+02      1.7309e+00     -2.7255e-01     -7.5256e-01         2.5381e+00            5.3462e-01            5.4611e-02      8.0717e-01     -2.4800e-02
      3.0000e+02      1.7320e+00     -2.7141e-01     -7.4554e-01         2.5361e+00            5.3271e-01            5.8579e-02      8.0412e-01     -2.7223e-02
      3.0500e+02      1.7331e+00     -2.7012e-01     -7.3801e-01         2.5337e+00            5.3050e-01            6.2606e-02      8.0062e-01     -2.9767e-02
      3.1000e+02      1.7344e+00     -2.6877e-01     -7.3024e-01         2.5313e+00            5.2816e-01            6.6695e-02      7.9693e-01     -3.2425e-02
      3.1500e+02      1.7356e+00     -2.6745e-01     -7.2244e-01         2.5289e+00            5.2585e-01            7.0855e-02      7.9329e-01     -3.5192e-02
      3.2000e+02      1.7368e+00     -2.6611e-01     -7.1455e-01         2.5264e+00            5.2350e-01            7.5070e-02      7.8962e-01     -3.8051e-02
      3.2500e+02      1.7380e+00     -2.6477e-01     -7.0657e-01         2.5239e+00            5.2113e-01            7.9328e-02      7.8590e-01     -4.0991e-02
      3.3000e+02      1.7393e+00     -2.6343e-01     -6.9853e-01         2.5214e+00            5.1873e-01            8.3621e-02      7.8215e-01     -4.3996e-02
      3.3500e+02      1.7405e+00     -2.6208e-01     -6.9044e-01         2.5189e+00            5.1631e-01            8.7938e-02      7.7838e-01     -4.7040e-02
      3.4000e+02      1.7418e+00     -2.6073e-01     -6.8232e-01         2.5164e+00            5.1387e-01            9.2272e-02      7.7460e-01     -5.0132e-02
      3.4500e+02      1.7431e+00     -2.5938e-01     -6.7418e-01         2.5139e+00            5.1142e-01            9.6614e-02      7.7080e-01     -5.3231e-02
      3.5000e+02      1.7443e+00     -2.5803e-01     -6.6605e-01         2.5113e+00            5.0898e-01            1.0096e-01      7.6701e-01     -5.6476e-02
      3.5500e+02      1.7456e+00     -2.5670e-01     -6.5794e-01         2.5088e+00            5.0654e-01            1.0529e-01      7.6323e-01     -6.0103e-02
      3.6000e+02      1.7468e+00     -2.5537e-01     -6.4986e-01         2.5063e+00            5.0411e-01            1.0962e-01      7.5948e-01     -6.3744e-02
      3.6500e+02      1.7481e+00     -2.5405e-01     -6.4180e-01         2.5038e+00            5.0167e-01            1.1392e-01      7.5572e-01     -6.7037e-02
      3.7000e+02      1.7493e+00     -2.5273e-01     -6.3378e-01         2.5013e+00            4.9924e-01            1.1819e-01      7.5197e-01     -7.0234e-02
      3.7500e+02      1.7506e+00     -2.5142e-01     -6.2582e-01         2.4988e+00            4.9683e-01            1.2244e-01      7.4825e-01     -7.3481e-02
      3.8000e+02      1.7518e+00     -2.5013e-01     -6.1792e-01         2.4964e+00            4.9443e-01            1.2664e-01      7.4456e-01     -7.6719e-02
      3.8500e+02      1.7530e+00     -2.4886e-01     -6.1010e-01         2.4939e+00            4.9205e-01            1.3081e-01      7.4091e-01     -7.9941e-02
      3.9000e+02      1.7542e+00     -2.4759e-01     -6.0237e-01         2.4915e+00            4.8970e-01            1.3492e-01      7.3729e-01     -8.3145e-02
      3.9500e+02      1.7554e+00     -2.4634e-01     -5.9472e-01         2.4891e+00            4.8737e-01            1.3899e-01      7.3371e-01     -8.6328e-02
      4.0000e+02      1.7566e+00     -2.4511e-01     -5.8717e-01         2.4868e+00            4.8506e-01            1.4301e-01      7.3017e-01     -8.9486e-02
      4.0500e+02      1.7578e+00     -2.4390e-01     -5.7971e-01         2.4845e+00            4.8278e-01            1.4697e-01      7.2668e-01     -9.2613e-02
      4.1000e+02      1.7589e+00     -2.4270e-01     -5.7237e-01         2.4822e+00            4.8053e-01            1.5087e-01      7.2323e-01     -9.5705e-02
      4.1500e+02      1.7601e+00     -2.4152e-01     -5.6513e-01         2.4799e+00            4.7832e-01            1.5471e-01      7.1984e-01     -9.8758e-02
      4.2000e+02      1.7612e+00     -2.4036e-01     -5.5801e-01         2.4777e+00            4.7613e-01            1.5849e-01      7.1650e-01     -1.0177e-01
      4.2500e+02      1.7623e+00     -2.3922e-01     -5.5100e-01         2.4755e+00            4.7398e-01            1.6220e-01      7.1320e-01     -1.0475e-01
      4.3000e+02      1.7633e+00     -2.3810e-01     -5.4410e-01         2.4733e+00            4.7186e-01            1.6586e-01      7.0996e-01     -1.0769e-01
      4.3500e+02      1.7644e+00     -2.3700e-01     -5.3733e-01         2.4712e+00            4.6977e-01            1.6944e-01      7.0677e-01     -1.1058e-01
      4.4000e+02      1.7655e+00     -2.3592e-01     -5.3068e-01         2.4691e+00            4.6772e-01            1.7296e-01      7.0364e-01     -1.1342e-01
      4.4500e+02      1.7665e+00     -2.3485e-01     -5.2415e-01         2.4670e+00            4.6570e-01            1.7641e-01      7.0056e-01     -1.1622e-01
      4.5000e+02      1.7675e+00     -2.3381e-01     -5.1774e-01         2.4650e+00            4.6372e-01            1.7979e-01      6.9753e-01     -1.1897e-01
      4.5500e+02      1.7685e+00     -2.3279e-01     -5.1145e-01         2.4630e+00            4.6178e-01            1.8311e-01      6.9456e-01     -1.2167e-01
      4.6000e+02      1.7695e+00     -2.3178e-01     -5.0528e-01         2.4611e+00            4.5986e-01            1.8636e-01      6.9164e-01     -1.2432e-01
      4.6500e+02      1.7704e+00     -2.3080e-01     -4.9924e-01         2.4592e+00            4.5799e-01            1.8954e-01      6.8879e-01     -1.2692e-01
      4.7000e+02      1.7713e+00     -2.2983e-01     -4.9332e-01         2.4573e+00            4.5615e-01            1.9266e-01      6.8598e-01     -1.2947e-01
      4.7500e+02      1.7723e+00     -2.2888e-01     -4.8752e-01         2.4555e+00            4.5434e-01            1.9571e-01      6.8323e-01     -1.3197e-01
      4.8000e+02      1.7732e+00     -2.2796e-01     -4.8184e-01         2.4537e+00            4.5257e-01            1.9869e-01      6.8053e-01     -1.3442e-01
      4.8500e+02      1.7740e+00     -2.2705e-01     -4.7628e-01         2.4519e+00            4.5083e-01            2.0161e-01      6.7788e-01     -1.3682e-01
      4.9000e+02      1.7749e+00     -2.2616e-01     -4.7083e-01         2.4502e+00            4.4913e-01            2.0446e-01      6.7529e-01     -1.3917e-01
      4.9500e+02      1.7758e+00     -2.2528e-01     -4.6550e-01         2.4485e+00            4.4746e-01            2.0725e-01      6.7275e-01     -1.4146e-01
      5.0000e+02      1.7766e+00     -2.2443e-01     -4.6028e-01         2.4468e+00            4.4582e-01            2.0997e-01      6.7025e-01     -1.4371e-01
      5.0500e+02      1.7774e+00     -2.2359e-01     -4.5517e-01         2.4452e+00            4.4422e-01            2.1264e-01      6.6781e-01     -1.4590e-01
      5.1000e+02      1.7782e+00     -2.2277e-01     -4.5018e-01         2.4436e+00            4.4265e-01            2.1524e-01      6.6542e-01     -1.4805e-01
      5.1500e+02      1.7790e+00     -2.2197e-01     -4.4529e-01         2.4420e+00            4.4111e-01            2.1778e-01      6.6307e-01     -1.5014e-01
      5.2000e+02      1.7797e+00     -2.2118e-01     -4.4051e-01         2.4405e+00            4.3960e-01            2.2027e-01      6.6078e-01     -1.5219e-01
      5.2500e+02      1.7805e+00     -2.2041e-01     -4.3583e-01         2.4390e+00            4.3812e-01            2.2270e-01      6.5853e-01     -1.5418e-01
      5.3000e+02      1.7812e+00     -2.1966e-01     -4.3126e-01         2.4375e+00            4.3667e-01            2.2507e-01      6.5632e-01     -1.5613e-01
      5.3500e+02      1.7819e+00     -2.1892e-01     -4.2678e-01         2.4361e+00            4.3525e-01            2.2738e-01      6.5416e-01     -1.5803e-01
      5.4000e+02      1.7827e+00     -2.1819e-01     -4.2240e-01         2.4347e+00            4.3385e-01            2.2964e-01      6.5204e-01     -1.5988e-01
      5.4500e+02      1.7833e+00     -2.1748e-01     -4.1812e-01         2.4333e+00            4.3249e-01            2.3184e-01      6.4997e-01     -1.6169e-01
      5.5000e+02      1.7840e+00     -2.1679e-01     -4.1394e-01         2.4320e+00            4.3115e-01            2.3400e-01      6.4793e-01     -1.6345e-01
      5.5500e+02      1.7847e+00     -2.1611e-01     -4.0984e-01         2.4306e+00            4.2984e-01            2.3610e-01      6.4594e-01     -1.6516e-01
      5.6000e+02      1.7853e+00     -2.1544e-01     -4.0584e-01         2.4293e+00            4.2855e-01            2.3815e-01      6.4399e-01     -1.6683e-01
      5.6500e+02      1.7860e+00     -2.1478e-01     -4.0192e-01         2.4281e+00            4.2729e-01            2.4015e-01      6.4208e-01     -1.6845e-01
      5.7000e+02      1.7866e+00     -2.1414e-01     -3.9809e-01         2.4268e+00            4.2606e-01            2.4211e-01      6.4020e-01     -1.7003e-01
      5.7500e+02      1.7872e+00     -2.1351e-01     -3.9434e-01         2.4256e+00            4.2484e-01            2.4402e-01      6.3836e-01     -1.7157e-01
      5.8000e+02      1.7878e+00     -2.1290e-01     -3.9068e-01         2.4244e+00            4.2366e-01            2.4588e-01      6.3655e-01     -1.7306e-01
      5.8500e+02      1.7884e+00     -2.1230e-01     -3.8709e-01         2.4232e+00            4.2249e-01            2.4770e-01      6.3479e-01     -1.7451e-01
      5.9000e+02      1.7890e+00     -2.1170e-01     -3.8358e-01         2.4220e+00            4.2135e-01            2.4947e-01      6.3305e-01     -1.7592e-01
      5.9500e+02      1.7896e+00     -2.1112e-01     -3.8015e-01         2.4209e+00            4.2023e-01            2.5120e-01      6.3135e-01     -1.7729e-01
      6.0000e+02      1.7901e+00     -2.1055e-01     -3.7679e-01         2.4198e+00            4.1913e-01            2.5289e-01      6.2968e-01     -1.7862e-01
      6.0500e+02      1.7907e+00     -2.0999e-01     -3.7351e-01         2.4187e+00            4.1805e-01            2.5453e-01      6.2804e-01     -1.7991e-01
      6.1000e+02      1.7912e+00     -2.0945e-01     -3.7029e-01         2.4176e+00            4.1699e-01            2.5614e-01      6.2643e-01     -1.8116e-01
      6.1500e+02      1.7917e+00     -2.0891e-01     -3.6714e-01         2.4166e+00            4.1595e-01            2.5771e-01      6.2486e-01     -1.8237e-01
      6.2000e+02      1.7922e+00     -2.0838e-01     -3.6406e-01         2.4155e+00            4.1493e-01            2.5924e-01      6.2331e-01     -1.8354e-01
      6.2500e+02      1.7927e+00     -2.0786e-01     -3.6105e-01         2.4145e+00            4.1392e-01            2.6074e-01      6.2178e-01     -1.8468e-01
      6.3000e+02      1.7932e+00     -2.0735e-01     -3.5810e-01         2.4135e+00            4.1294e-01            2.6219e-01      6.2029e-01     -1.8578e-01
      6.3500e+02      1.7937e+00     -2.0685e-01     -3.5521e-01         2.4125e+00            4.1197e-01            2.6361e-01      6.1882e-01     -1.8684e-01
      6.4000e+02      1.7942e+00     -2.0636e-01     -3.5238e-01         2.4116e+00            4.1102e-01            2.6500e-01      6.1738e-01     -1.8787e-01
      6.4500e+02      1.7947e+00     -2.0588e-01     -3.4961e-01         2.4106e+00            4.1009e-01            2.6636e-01      6.1597e-01     -1.8887e-01
      6.5000e+02      1.7951e+00     -2.0541e-01     -3.4690e-01         2.4097e+00            4.0917e-01            2.6768e-01      6.1457e-01     -1.8983e-01
      6.5500e+02      1.7956e+00     -2.0494e-01     -3.4424e-01         2.4088e+00            4.0826e-01            2.6896e-01      6.1320e-01     -1.9076e-01
      6.6000e+02      1.7960e+00     -2.0448e-01     -3.4164e-01         2.4079e+00            4.0738e-01            2.7022e-01      6.1186e-01     -1.9165e-01
      6.6500e+02      1.7965e+00     -2.0403e-01     -3.3909e-01         2.4070e+00            4.0650e-01            2.7145e-01      6.1054e-01     -1.9251e-01
      6.7000e+02      1.7969e+00     -2.0359e-01     -3.3659e-01         2.4062e+00            4.0565e-01            2.7265e-01      6.0924e-01     -1.9334e-01
      6.7500e+02      1.7973e+00     -2.0316e-01     -3.3414e-01         2.4053e+00            4.0480e-01            2.7382e-01      6.0796e-01     -1.9414e-01
      6.8000e+02      1.7978e+00     -2.0273e-01     -3.3174e-01         2.4045e+00            4.0397e-01            2.7495e-01      6.0670e-01     -1.9491e-01
      6.8500e+02      1.7982e+00     -2.0231e-01     -3.2939e-01         2.4036e+00            4.0315e-01            2.7607e-01      6.0546e-01     -1.9565e-01
      6.9000e+02      1.7986e+00     -2.0189e-01     -3.2709e-01         2.4028e+00            4.0235e-01            2.7715e-01      6.0424e-01     -1.9636e-01
      6.9500e+02      1.7990e+00     -2.0149e-01     -3.2483e-01         2.4020e+00            4.0156e-01            2.7821e-01      6.0304e-01     -1.9704e-01
      7.0000e+02      1.7994e+00     -2.0108e-01     -3.2262e-01         2.4012e+00            4.0078e-01            2.7924e-01      6.0186e-01     -1.9769e-01
      7.0500e+02      1.7998e+00     -2.0069e-01     -3.2045e-01         2.4005e+00            4.0001e-01            2.8025e-01      6.0070e-01     -1.9832e-01
      7.1000e+02      1.8001e+00     -2.0030e-01     -3.1832e-01         2.3997e+00            3.9925e-01            2.8123e-01      5.9955e-01     -1.9892e-01
      7.1500e+02      1.8005e+00     -1.9992e-01     -3.1623e-01         2.3989e+00            3.9851e-01            2.8219e-01      5.9842e-01     -1.9949e-01
      7.2000e+02      1.8009e+00     -1.9954e-01     -3.1418e-01         2.3982e+00            3.9777e-01            2.8313e-01      5.9731e-01     -2.0004e-01
      7.2500e+02      1.8013e+00     -1.9917e-01     -3.1217e-01         2.3975e+00            3.9705e-01            2.8404e-01      5.9621e-01     -2.0056e-01
      7.3000e+02      1.8016e+00     -1.9880e-01     -3.1020e-01         2.3968e+00            3.9633e-01            2.8493e-01      5.9513e-01     -2.0105e-01
      7.3500e+02      1.8020e+00     -1.9844e-01     -3.0827e-01         2.3960e+00            3.9563e-01            2.8580e-01      5.9406e-01     -2.0152e-01
      7.4000e+02      1.8023e+00     -1.9808e-01     -3.0637e-01         2.3953e+00            3.9493e-01            2.8665e-01      5.9301e-01     -2.0197e-01
      7.4500e+02      1.8027e+00     -1.9773e-01     -3.0450e-01         2.3947e+00            3.9425e-01            2.8747e-01      5.9198e-01     -2.0239e-01
      7.5000e+02      1.8030e+00     -1.9738e-01     -3.0268e-01         2.3940e+00            3.9357e-01            2.8828e-01      5.9095e-01     -2.0279e-01
      7.5500e+02      1.8034e+00     -1.9704e-01     -3.0088e-01         2.3933e+00            3.9291e-01            2.8907e-01      5.8995e-01     -2.0316e-01
      7.6000e+02      1.8037e+00     -1.9670e-01     -2.9912e-01         2.3926e+00            3.9225e-01            2.8983e-01      5.8895e-01     -2.0351e-01
      7.6500e+02      1.8040e+00     -1.9637e-01     -2.9739e-01         2.3920e+00            3.9160e-01            2.9058e-01      5.8797e-01     -2.0385e-01
      7.7000e+02      1.8043e+00     -1.9604e-01     -2.9569e-01         2.3913e+00            3.9096e-01            2.9131e-01      5.8700e-01     -2.0416e-01
      7.7500e+02      1.8047e+00     -1.9572e-01     -2.9402e-01         2.3907e+00            3.9033e-01            2.9202e-01      5.8604e-01     -2.0445e-01
      7.8000e+02      1.8050e+00     -1.9540e-01     -2.9238e-01         2.3901e+00            3.8970e-01            2.9272e-01      5.8510e-01     -2.0472e-01
      7.8500e+02      1.8053e+00     -1.9508e-01     -2.9077e-01         2.3894e+00            3.8908e-01            2.9339e-01      5.8416e-01     -2.0497e-01
      7.9000e+02      1.8056e+00     -1.9477e-01     -2.8919e-01         2.3888e+00            3.8848e-01            2.9406e-01      5.8324e-01     -2.0520e-01
      7.9500e+02      1.8059e+00     -1.9446e-01     -2.8763e-01         2.3882e+00            3.8787e-01            2.9470e-01      5.8233e-01     -2.0541e-01
      8.0000e+02      1.8062e+00     -1.9415e-01     -2.8610e-01         2.3876e+00            3.8728e-01            2.9533e-01      5.8143e-01     -2.0560e-01
      8.0500e+02      1.8065e+00     -1.9385e-01     -2.8460e-01         2.3870e+00            3.8669e-01            2.9594e-01      5.8054e-01     -2.0577e-01
      8.1000e+02      1.8068e+00     -1.9355e-01     -2.8313e-01         2.3864e+00            3.8611e-01            2.9654e-01      5.7966e-01     -2.0593e-01
      8.1500e+02      1.8071e+00     -1.9326e-01     -2.8168e-01         2.3859e+00            3.8553e-01            2.9712e-01      5.7879e-01     -2.0607e-01
      8.2000e+02      1.8074e+00     -1.9297e-01     -2.8025e-01         2.3853e+00            3.8497e-01            2.9769e-01      5.7794e-01     -2.0619e-01
      8.2500e+02      1.8076e+00     -1.9268e-01     -2.7885e-01         2.3847e+00            3.8440e-01            2.9824e-01      5.7709e-01     -2.0629e-01
      8.3000e+02      1.8079e+00     -1.9240e-01     -2.7747e-01         2.3842e+00            3.8385e-01            2.9878e-01      5.7625e-01     -2.0638e-01
      8.3500e+02      1.8082e+00     -1.9212e-01     -2.7611e-01         2.3836e+00            3.8330e-01            2.9931e-01      5.7542e-01     -2.0645e-01
      8.4000e+02      1.8085e+00     -1.9184e-01     -2.7478e-01         2.3831e+00            3.8276e-01            2.9982e-01      5.7460e-01     -2.0651e-01
      8.4500e+02      1.8087e+00     -1.9156e-01     -2.7347e-01         2.3825e+00            3.8222e-01            3.0032e-01      5.7378e-01     -2.0655e-01
      8.5000e+02      1.8090e+00     -1.9129e-01     -2.7218e-01         2.3820e+00            3.8169e-01            3.0080e-01      5.7298e-01     -2.0658e-01
      8.5500e+02      1.8093e+00     -1.9102e-01     -2.7091e-01         2.3815e+00            3.8116e-01            3.0128e-01      5.7218e-01     -2.0659e-01
      8.6000e+02      1.8095e+00     -1.9076e-01     -2.6966e-01         2.3809e+00            3.8064e-01            3.0174e-01      5.7140e-01     -2.0659e-01
      8.6500e+02      1.8098e+00     -1.9049e-01     -2.6843e-01         2.3804e+00            3.8013e-01            3.0219e-01      5.7062e-01     -2.0657e-01
      8.7000e+02      1.8101e+00     -1.9023e-01     -2.6722e-01         2.3799e+00            3.7962e-01            3.0263e-01      5.6985e-01     -2.0655e-01
      8.7500e+02      1.8103e+00     -1.8998e-01     -2.6603e-01         2.3794e+00            3.7911e-01            3.0306e-01      5.6909e-01     -2.0650e-01
      8.8000e+02      1.8106e+00     -1.8972e-01     -2.6485e-01         2.3789e+00            3.7861e-01            3.0348e-01      5.6833e-01     -2.0645e-01
      8.8500e+02      1.8108e+00     -1.8947e-01     -2.6370e-01         2.3784e+00            3.7812e-01            3.0388e-01      5.6758e-01     -2.0638e-01
      8.9000e+02      1.8111e+00     -1.8922e-01     -2.6256e-01         2.3779e+00            3.7763e-01            3.0428e-01      5.6684e-01     -2.0631e-01
      8.9500e+02      1.8113e+00     -1.8897e-01     -2.6145e-01         2.3774e+00            3.7714e-01            3.0466e-01      5.6611e-01     -2.0621e-01
      9.0000e+02      1.8115e+00     -1.8873e-01     -2.6035e-01         2.3769e+00            3.7666e-01            3.0504e-01      5.6539e-01     -2.0611e-01
      9.0500e+02      1.8118e+00     -1.8848e-01     -2.5926e-01         2.3764e+00            3.7619e-01            3.0541e-01      5.6467e-01     -2.0599e-01
      9.1000e+02      1.8120e+00     -1.8824e-01     -2.5819e-01         2.3760e+00            3.7571e-01            3.0576e-01      5.6396e-01     -2.0587e-01
      9.1500e+02      1.8122e+00     -1.8800e-01     -2.5714e-01         2.3755e+00            3.7525e-01            3.0611e-01      5.6325e-01     -2.0574e-01
