  3.1697507E+02  9.7929177E-01 -8.4370371E-11  1.1528044E+10
  3.1634185E+02  9.7921094E-01 -8.3695378E-11  1.1435816E+10
  3.1570864E+02  9.7912964E-01 -8.3024437E-11  1.1344141E+10
  3.1507542E+02  9.7904787E-01 -8.2357533E-11  1.1253018E+10
  3.1444220E+02  9.7896561E-01 -8.1694648E-11  1.1162444E+10
  3.1380899E+02  9.7888288E-01 -8.1035767E-11  1.1072417E+10
  3.1317577E+02  9.7879966E-01 -8.0380874E-11  1.0982935E+10
  3.1254255E+02  9.7871595E-01 -7.9729952E-11  1.0893995E+10
  3.1190934E+02  9.7863174E-01 -7.9082986E-11  1.0805596E+10
  3.1127612E+02  9.7854704E-01 -7.8439958E-11  1.0717735E+10
  3.1064291E+02  9.7846183E-01 -7.7800855E-11  1.0630411E+10
  3.1000969E+02  9.7837612E-01 -7.7165658E-11  1.0543620E+10
  3.0937647E+02  9.7828990E-01 -7.6534354E-11  1.0457361E+10
  3.0874326E+02  9.7820317E-01 -7.5906924E-11  1.0371631E+10
  3.0811004E+02  9.7811592E-01 -7.5283355E-11  1.0286429E+10
  3.0747682E+02  9.7802815E-01 -7.4663629E-11  1.0201752E+10
  3.0684361E+02  9.7793985E-01 -7.4047731E-11  1.0117598E+10
  3.0621039E+02  9.7785102E-01 -7.3435646E-11  1.0033965E+10
  3.0557717E+02  9.7776166E-01 -7.2827357E-11  9.9508509E+09
  3.0494396E+02  9.7767176E-01 -7.2222849E-11  9.8682533E+09
  3.0431074E+02  9.7758131E-01 -7.1622106E-11  9.7861701E+09
  3.0367752E+02  9.7749032E-01 -7.1025113E-11  9.7045992E+09
  3.0304431E+02  9.7739878E-01 -7.0431853E-11  9.6235385E+09
  3.0241109E+02  9.7730668E-01 -6.9842312E-11  9.5429858E+09
  3.0177787E+02  9.7721403E-01 -6.9256474E-11  9.4629391E+09
  3.0114466E+02  9.7712080E-01 -6.8674323E-11  9.3833962E+09
  3.0051144E+02  9.7702701E-01 -6.8095843E-11  9.3043550E+09
  2.9987822E+02  9.7693264E-01 -6.7521020E-11  9.2258134E+09
  2.9924501E+02  9.7683770E-01 -6.6949838E-11  9.1477693E+09
  2.9861179E+02  9.7674217E-01 -6.6382282E-11  9.0702206E+09
  2.9797857E+02  9.7664605E-01 -6.5818335E-11  8.9931651E+09
  2.9734536E+02  9.7654934E-01 -6.5257984E-11  8.9166008E+09
  2.9671214E+02  9.7645203E-01 -6.4701212E-11  8.8405257E+09
  2.9607892E+02  9.7635412E-01 -6.4148005E-11  8.7649375E+09
  2.9544571E+02  9.7625560E-01 -6.3598346E-11  8.6898343E+09
  2.9481249E+02  9.7615647E-01 -6.3052222E-11  8.6152139E+09
  2.9417927E+02  9.7605672E-01 -6.2509616E-11  8.5410744E+09
  2.9354606E+02  9.7595634E-01 -6.1970514E-11  8.4674135E+09
  2.9291284E+02  9.7585534E-01 -6.1434901E-11  8.3942294E+09
  2.9227962E+02  9.7575371E-01 -6.0902761E-11  8.3215198E+09
  2.9164641E+02  9.7565144E-01 -6.0374079E-11  8.2492828E+09
  2.9101319E+02  9.7554852E-01 -5.9848841E-11  8.1775163E+09
