!                T (MeV)                 t (sec)               ln(a/a_i)               L/n_gamma          \Omega_wdm h^2
  1.0000000000000000E+04  2.6335409739583909E-09  0.0000000000000000E+00  1.2197239233082581E-02  0.0000000000000000E+00
  9.3260334688321982E+03  3.0295747626974724E-09  7.0050858448934480E-02  1.2187160456560028E-02  3.0247326785620810E-15
  8.6974900261778330E+03  3.4848687537122495E-09  1.4006725873478848E-01  1.2178348873849885E-02  8.6342143532772141E-15
  8.1113083078968712E+03  4.0083644684416929E-09  2.1006316439118156E-01  1.2170291915970346E-02  1.9029884628166456E-14
  7.5646332755462890E+03  4.6103607489895712E-09  2.8005067548672574E-01  1.2162546582273831E-02  3.8275534332346833E-14
  7.0548023107186436E+03  5.3027174286749650E-09  3.5003994314531373E-01  1.2154742125924401E-02  7.3858872436095525E-14
  6.5793322465756801E+03  6.0990906593907239E-09  4.2003930301708498E-01  1.2146574914486509E-02  1.3954519736404860E-13
  6.1359072734131732E+03  7.0152057406072149E-09  4.9005559317359426E-01  1.2137796686176245E-02  2.6057332080820400E-13
  5.7223676593502178E+03  8.0691739972039577E-09  5.6009458127633271E-01  1.2128198918097379E-02  4.8307476956798056E-13
  5.3366992312063103E+03  9.2818601141181930E-09  6.3016136984521209E-01  1.2117598072523850E-02  8.9104888279571964E-13
  4.9770235643321112E+03  1.0677309283236544E-08  7.0026081023261799E-01  1.2105820603536680E-02  1.6367843069628484E-12
  4.6415888336127791E+03  1.2283243813335179E-08  7.7039786655809184E-01  1.2092689870801206E-02  2.9949110159649978E-12
  4.3287612810830587E+03  1.4131635777640195E-08  8.4057773682323400E-01  1.2078021957741599E-02  5.4575596735159320E-12
  4.0370172585965552E+03  1.6259379746292518E-08  9.1080621185175115E-01  1.2061612952441386E-02  9.8999827532771724E-12
  3.7649358067924686E+03  1.8709067427026847E-08  9.8108967883189113E-01  1.2043239232531908E-02  1.7864677819100330E-11
  3.5111917342151319E+03  2.1529895341527219E-08  1.0514352967136091E+00  1.2022651636744625E-02  3.2040563869348486E-11
  3.2745491628777290E+03  2.4778720817519841E-08  1.1218510667911903E+00  1.1999573579734637E-02  5.7052399137555219E-11
  3.0538555088334160E+03  2.8521296629642394E-08  1.1923459274478432E+00  1.1973698464806849E-02  1.0072901075132124E-10
  2.8480358684358021E+03  3.2833713086991375E-08  1.2629298047005626E+00  1.1944688892280177E-02  1.7606469247757077E-10
  2.6560877829466867E+03  3.7804088883549326E-08  1.3336136933560472E+00  1.1912175006672313E-02  3.0411984771596721E-10
  2.4770763559917114E+03  4.3534559441339490E-08  1.4044097827573836E+00  1.1875751546832848E-02  5.1805242820581956E-10
  2.3101297000831601E+03  5.0143588643658044E-08  1.4753312921244492E+00  1.1834985588150951E-02  8.6824745026258423E-10
  2.1544346900318842E+03  5.7768725275961429E-08  1.5463927437456333E+00  1.1789409016392152E-02  1.4280040450879274E-09
  2.0092330025650476E+03  6.6569805858972155E-08  1.6176097612603768E+00  1.1738528334573898E-02  2.2983700061074862E-09
  1.8738174228603846E+03  7.6732749044302185E-08  1.6889990893689977E+00  1.1681826970294868E-02  3.6095961317028993E-09
  1.7475284000076842E+03  8.8474013492939753E-08  1.7605784716542379E+00  1.1618773010436463E-02  5.5155718524672601E-09
  1.6297508346206446E+03  1.0204585138442790E-07  1.8323665059334511E+00  1.1548828062724956E-02  8.1775492528307145E-09
  1.5199110829529341E+03  1.1774248728948894E-07  1.9043824080086655E+00  1.1471459564681021E-02  1.1735550245686865E-08
  1.4174741629268055E+03  1.3590738916769673E-07  1.9766457271144022E+00  1.1386154844615807E-02  1.6270857875037688E-08
